epoch,acc,loss,lr,val_acc,val_loss
0,0.835235825941,0.43035709328,0.01,0.855313960432,0.395694888975
1,0.848540228937,0.398908330203,0.01,0.856330013692,0.386654097638
2,0.852992626036,0.3880915852,0.01,0.860191017165,0.384450238044
3,0.855309838356,0.382145599583,0.01,0.859378175022,0.381240386058
4,0.856680506743,0.377876609338,0.01,0.858768542446,0.381873506177
5,0.858861198327,0.373127578792,0.01,0.860597438624,0.381580668369
6,0.860275553448,0.370258722194,0.01,0.85937817524,0.384511620406
7,0.862012097461,0.36655392514,0.01,0.862223125841,0.379235267924
8,0.862831222085,0.3645020449,0.01,0.862731152059,0.380086589825
9,0.863262627702,0.362081736144,0.01,0.8626295473,0.38254471906
10,0.864423964251,0.359589527698,0.01,0.863543995196,0.38162030045
11,0.865168457481,0.357598377017,0.01,0.862426336183,0.383402349448
12,0.866084056665,0.355654593324,0.01,0.864356837508,0.380873608785
13,0.866608296414,0.353556988102,0.01,0.859886201846,0.383151484127
14,0.867276338059,0.352708533262,0.01,0.862629546307,0.38017365767
15,0.869351453559,0.34706848105,0.001,0.863442390218,0.381394911287
16,0.869577167856,0.346490195598,0.001,0.863543995583,0.381431058125
